"","time","strain","count","dilution","cfu","frequency","ID","Culture"
"1",0,"∆metB",51,4,5100000,0.364285714285714,111,"a"
"2",0,"∆metB",67,4,6700000,0.468531468531469,112,"a"
"3",0,"∆metB",52,4,5200000,0.353741496598639,113,"a"
"4",0,"∆metB",39,4,3900000,0.513157894736842,211,"b"
"5",0,"∆metB",57,4,5700000,0.581632653061224,212,"b"
"6",0,"∆metB",46,4,4600000,0.613333333333333,213,"b"
"7",0,"∆metB",31,4,3100000,0.248,121,"c"
"8",0,"∆metB",20,4,2e+06,0.186915887850467,122,"c"
"9",0,"∆metB",23,4,2300000,0.211009174311927,123,"c"
"10",0,"∆metB",154,4,15400000,0.68141592920354,111,"d"
"11",0,"∆metB",158,4,15800000,0.683982683982684,112,"d"
"12",0,"∆metB",126,4,12600000,0.696132596685083,113,"d"
"13",1,"∆metB",3,6,3e+07,0.0526315789473684,111,"a"
"14",1,"∆metB",2,6,2e+07,0.0338983050847458,112,"a"
"15",1,"∆metB",2,6,2e+07,0.0212765957446809,113,"a"
"16",1,"∆metB",2,6,2e+07,0.0240963855421687,211,"b"
"17",1,"∆metB",0,6,0,0,212,"b"
"18",1,"∆metB",3,6,3e+07,0.0303030303030303,213,"b"
"19",1,"∆metB",1,6,1e+07,0.0153846153846154,121,"c"
"20",1,"∆metB",1,6,1e+07,0.0123456790123457,122,"c"
"21",1,"∆metB",0,6,0,0,123,"c"
"22",1,"∆metB",3,6,3e+07,0.0491803278688525,211,"d"
"23",1,"∆metB",5,6,5e+07,0.0666666666666667,212,"d"
"24",1,"∆metB",5,6,5e+07,0.178571428571429,213,"d"
"25",2,"∆metB",32,5,3.2e+07,0.041994750656168,111,"a"
"26",2,"∆metB",50,5,5e+07,0.0675675675675676,112,"a"
"27",2,"∆metB",63,5,6.3e+07,0.127789046653144,113,"a"
"28",2,"∆metB",46,5,4.6e+07,0.0507726269315673,211,"b"
"29",2,"∆metB",71,5,7.1e+07,0.0920881971465629,212,"b"
"30",2,"∆metB",62,5,6.2e+07,0.102990033222591,213,"b"
"31",2,"∆metB",37,5,3.7e+07,0.0508940852819807,121,"c"
"32",2,"∆metB",23,5,2.3e+07,0.0301441677588467,122,"c"
"33",2,"∆metB",35,5,3.5e+07,0.0534351145038168,123,"c"
"34",2,"∆metB",95,5,9.5e+07,0.174311926605505,121,"d"
"35",2,"∆metB",96,5,9.6e+07,0.135977337110482,122,"d"
"36",2,"∆metB",81,5,8.1e+07,0.139414802065404,123,"d"
"37",0,"∆metJ",89,4,8900000,0.635714285714286,111,"a"
"38",0,"∆metJ",76,4,7600000,0.531468531468531,112,"a"
"39",0,"∆metJ",95,4,9500000,0.646258503401361,113,"a"
"40",0,"∆metJ",37,4,3700000,0.486842105263158,211,"b"
"41",0,"∆metJ",41,4,4100000,0.418367346938776,212,"b"
"42",0,"∆metJ",29,4,2900000,0.386666666666667,213,"b"
"43",0,"∆metJ",94,4,9400000,0.752,121,"c"
"44",0,"∆metJ",87,4,8700000,0.813084112149533,122,"c"
"45",0,"∆metJ",86,4,8600000,0.788990825688073,123,"c"
"46",0,"∆metJ",72,4,7200000,0.31858407079646,111,"d"
"47",0,"∆metJ",73,4,7300000,0.316017316017316,112,"d"
"48",0,"∆metJ",55,4,5500000,0.303867403314917,113,"d"
"49",1,"∆metJ",54,6,5.4e+08,0.947368421052632,111,"a"
"50",1,"∆metJ",57,6,5.7e+08,0.966101694915254,112,"a"
"51",1,"∆metJ",92,6,9.2e+08,0.978723404255319,113,"a"
"52",1,"∆metJ",81,6,8.1e+08,0.975903614457831,211,"b"
"53",1,"∆metJ",76,6,7.6e+08,1,212,"b"
"54",1,"∆metJ",96,6,9.6e+08,0.96969696969697,213,"b"
"55",1,"∆metJ",64,6,6.4e+08,0.984615384615385,121,"c"
"56",1,"∆metJ",80,6,8e+08,0.987654320987654,122,"c"
"57",1,"∆metJ",82,6,8.2e+08,1,123,"c"
"58",1,"∆metJ",58,6,5.8e+08,0.950819672131147,211,"d"
"59",1,"∆metJ",70,6,7e+08,0.933333333333333,212,"d"
"60",1,"∆metJ",23,6,2.3e+08,0.821428571428571,213,"d"
"61",2,"∆metJ",73,6,7.3e+08,0.958005249343832,111,"a"
"62",2,"∆metJ",69,6,6.9e+08,0.932432432432432,112,"a"
"63",2,"∆metJ",43,6,4.3e+08,0.872210953346856,113,"a"
"64",2,"∆metJ",86,6,8.6e+08,0.949227373068433,211,"b"
"65",2,"∆metJ",70,6,7e+08,0.907911802853437,212,"b"
"66",2,"∆metJ",54,6,5.4e+08,0.897009966777409,213,"b"
"67",2,"∆metJ",69,6,6.9e+08,0.949105914718019,121,"c"
"68",2,"∆metJ",74,6,7.4e+08,0.969855832241153,122,"c"
"69",2,"∆metJ",62,6,6.2e+08,0.946564885496183,123,"c"
"70",2,"∆metJ",45,6,4.5e+08,0.825688073394495,121,"d"
"71",2,"∆metJ",61,6,6.1e+08,0.864022662889518,122,"d"
"72",2,"∆metJ",50,6,5e+08,0.860585197934596,123,"d"
